source	site	% U	V
0	americanfleas.com*	2.80807123616778E-06	29362
0	americanhelpfinder.com*	9.20105421679901E-07	9810
0	americanidolnet.com*	1.72352032162258E-06	15299
0	americanlawyer.com*	2.53359197511646E-05	241901
0	americanowradio.com*	2.45786811456185E-06	23543
0	americansforprosperity.org*	4.36135758357622E-06	43093
0	americanshakespearecenter.com*	1.6587945756308E-06	18185
0	americanthinker.com*	0.0002180232	2401014
0	americantowns.com*	0.0001686973	1499511
0	americasbestvalueinn.com*	2.94420579298139E-05	290267
0	americasjobexchange.com*	8.69475943336534E-05	810063
0	americatop10.com*	4.50856918878923E-06	36939
0	americustimesrecorder.com*	3.87630915782074E-06	33914
0	amerika.org*	8.38935126401591E-07	8113
0	amerpages.com*	3.10854604073125E-06	26197
0	amiannoying.com*	4.84745846048603E-06	57384
0	am-i-dumb.com*	1.78193136068834E-06	17769
0	ammoland.com*	3.95565081921839E-05	337367
0	ammoseek.com*	4.16352307783955E-05	479402
0	amog.com*	3.8635481875744E-06	31382
0	amromusic.com*	0.000002664	24479
0	amusingthezillion.com*	1.08560336569953E-06	8704
0	amybayliss.com*	1.73470261513742E-06	15753
0	anabolicminds.com*	2.28271393120116E-05	243145
0	anabolicsecrets.com*	0.000002178	18115
0	anaheimcalling.com*	1.12243915610136E-06	11156
0	anakedguy.com*	9.37010418346454E-06	92342
0	analoghype.com*	8.78533601083554E-07	7135
0	analyticbridge.com*	2.75886914470249E-06	25162
0	anandtech.com*	8.100019286049E-05	811280
0	anchorage.net*	7.74275158606957E-06	83309
0	anchorofgold.com*	3.68818351398284E-06	31751
0	ancientfaces.com*	9.12152837644935E-05	812655
0	ancientfortresses.org*	1.23820878307852E-06	10985
0	ancientgreece.com*	8.74757932567367E-06	75202
0	ancirarv.com*	3.00277469972029E-06	32008
0	anddownthestretchtheycome.com*	3.1534067711849E-06	25374
0	andebet.com*	7.90127704119172E-07	7689
0	andersonclaytonterrell.com*	4.35451665107302E-07	5298
0	andhrawishesh.com*	1.2386034522614E-06	12004
0	andkon.com*	0.0001374875	1817265
0	andovertownsman.com*	2.35354389388811E-06	19256
0	android.net*	5.60509173521502E-06	46187
0	androidcentral.com*	0.0005153342	4761739
0	androidcommunity.com*	4.9577816527395E-05	437268
0	androidpolice.com*	0.0001295629	1400783
0	androidsuckers.com*	6.91591964794287E-07	5904
0	androidtablets.net*	1.99452649386459E-05	175211
0	andthevalleyshook.com*	6.21853920179972E-06	58785
0	anfieldasylum.com*	6.15552368893374E-07	5777
0	angelikafilmcenter.com*	1.04434728044949E-05	106658
0	anglotopia.net*	3.07960363398696E-06	26349
0	angryarcade.com*	7.36715808036524E-07	6740
0	angrymarks.com*	1.19032225555615E-06	13043
0	anilol.com*	1.09586476445432E-06	10835
0	animaljr.com*	1.69378857651254E-06	16193
0	animalphotos.info*	7.01590250760497E-07	6552
0	animationarchive.net*	6.56334851123967E-07	6386
0	animenewsnetwork.com*	0.0002146148	2464653
0	animephile.com*	2.05783143079802E-05	239590
0	anime-planet.com*	2.79778352613413E-05	383421
0	animespirit.com.br*	0.000001743	18188
0	animesuki.com*	2.49669040651749E-05	373152
0	animeultima.tv*	0.0001243417	2469912
0	animevice.com*	1.63475922239361E-05	171756
0	anivide.com*	5.49958350699265E-06	126950
0	annetheadventurer.com*	7.05536942589264E-07	6316
0	anomalist.com*	2.04938551028445E-06	17966
0	anorak.co.uk*	8.41763588878874E-06	66832
0	ansonrecord.com*	1.09941678710022E-06	9951
0	answers.com*	0.0056278834	45847187
0	answersingenesis.org*	4.45131584599325E-05	467329
0	anti-joke.com*	5.69783899319105E-06	55940
0	antipas.net*	1.87730974655021E-06	17418
0	antiqueweekend.com*	9.87330739163234E-07	9925
0	antiquiet.com*	5.68915627116776E-06	54933
0	anvari.org*	1.32556222888857E-05	108635
0	anymaking.com*	1.74825292374953E-06	16635
0	anymeeting.com*	2.68665783987548E-05	348358
0	anythingbutipod.com*	6.70477163510383E-06	54821
0	apartment34.com*	5.94490190167187E-06	53692
0	apartmentshq.com*	2.33578378065865E-06	20022
0	apartmentsmart.com*	4.39227333623489E-06	41058
0	apartmenttherapy.com*	0.0005093143	4691759
0	apetogentleman.com*	1.00456462681551E-06	8536
0	apfcinc.com*	5.40828336935384E-07	8178
0	apkgalaxy.com*	1.80469061690089E-06	19788
0	aplawrence.com*	2.57126972644176E-06	20907
0	aplia.com*	9.71799191253093E-05	1287034
0	apostoliclive.com*	1.0538982746751E-06	11499
0	apostolicsingles.net*	0.000000279	5466
0	appadvice.com*	0.0001410671	1585468
0	appalachianhistory.net*	9.64308370162093E-07	8198
0	appcraver.com*	1.25544267073081E-06	11290
0	applebeescareers.jobs*	1.09073406507693E-06	9360
0	applefanatic.org*	9.38273359731659E-06	75541
0	appleffect.com*	2.48681052130614E-06	19687
0	apples4theteacher.com*	3.6994184300554E-05	340043
0	appleweblog.com*	1.74746358538377E-06	17392
0	app-mobile.net*	6.40811196597483E-07	5559
0	appropedia.org*	2.93476004387121E-06	28134
0	appsbar.com*	2.69545896265363E-06	31961
0	appshopper.com*	3.14642112664799E-05	360104
0	appsverse.com*	0.0008060592	6268028
0	apstudynotes.org*	0.000010164	101926
0	apunkachoice.com*	1.45315877571261E-05	146825
0	aq.com*	0.0001514189	1958649
0	aqha.com*	2.01103682134827E-05	229510
0	aquabid.com*	8.11808197898532E-06	109628
0	aquaboards.com*	7.58422613094743E-07	12730
0	aquapeutics.com*	6.10553225910269E-07	5468
0	aquariumdrunkard.com*	3.29443522586618E-06	26760
0	aquariumfish.net*	4.66512129799699E-06	45283
0	arabianmoney.net*	1.61064493531985E-06	15229
0	aralifestyle.com*	2.17991576470121E-05	173194
0	arcade-museum.com*	8.86558541135381E-06	104029
0	arcamax.com*	0.0001429137	1390876
0	arcaracing.com*	7.16587679709812E-07	7749
0	archdaily.com*	2.55282551996199E-05	225148
0	archeryreport.com*	1.85639227985774E-06	15737
0	archidose.blogspot.com*	1.25241687366209E-06	12791
0	archinect.com*	0.000031671	406402
0	architectsusa.com*	1.24215547490729E-06	12784
0	archiver.co*	6.71463836467574E-07	5754
0	archnet.org*	1.25070664053629E-06	11810
0	arcticchat.com*	8.57721379506523E-06	81856
0	arcticicehockey.com*	8.9589904513013E-07	7168
0	ardorny.com*	1.09994301267738E-06	13274
0	area93.com*	5.03729433744973E-06	44014
0	areadevelopment.com*	5.39039169973009E-06	46904
0	areavoices.com*	3.20946295079282E-05	279678
0	arenajunkies.com*	2.52148878684157E-05	284459
0	areyouthesmartestfan.com*	6.30733976794698E-06	88045
0	arfc.org*	0.000018368	164706
0	argusobserver.com*	5.61245889329539E-06	56777
0	ariannyceleste.com*	2.98777727077098E-06	28142
0	arionradio.com*	1.56920467111779E-06	18781
0	arizonafoothillsmagazine.com*	1.94193024742656E-05	191021
0	arkansashunting.net*	0.000007209	90021
0	arkansasmatters.com*	3.74047718071401E-05	367543
0	arkansasonline.com*	6.95701786551976E-05	714238
0	arklatexhomepage.com*	5.49445280761525E-06	49344
0	arktimes.com*	2.58581986365048E-05	264031
0	arlnow.com*	3.37359270831182E-05	454858
0	armoryblog.com*	2.4502378436929E-06	21613
0	armslist.com*	0.0003314487	3568633
0	armstrongeconomics.com*	1.85109055716777E-05	227103
0	armyrecognition.com*	1.93059008623857E-06	16857
0	aroundindy.com*	4.84522200178306E-06	45789
0	arrestedmotion.com*	4.08956207296846E-06	40957
0	arrowheadaddict.com*	1.28796341139985E-05	130996
0	arrowheadpride.com*	5.62437790261826E-05	655624
0	arrse.co.uk*	3.60477676000157E-06	38116
0	artbrands.com*	1.26991387410295E-06	15800
0	art-deco-weddings.com*	5.54115532758899E-07	5210
0	artesianspas.com*	6.58571309826935E-07	7441
0	artfact.com*	0.000019853	162693
0	artfcity.com*	3.40836306332326E-06	33988
0	artfire.com*	9.72963465342579E-05	1038003
0	artgalleryfabrics.com*	5.64245375119402E-07	6387
